visual_mean,visual_variance,suspicious_ratio,audio_score,metadata_score,label
0.8284374517538855,0.01098764465115538,0.967741935483871,0,0.08038000000000001,0
0.8492723718667642,0.007001036583716174,0.9487179487179487,0,0.08438,0
0.7297701633745625,0.0046604458944067405,0.967741935483871,0,0.10468,0
0.8465598710611755,0.004181681621607716,1.0,0,0.08810000000000001,0
0.8587262645596638,0.0014171982895767655,1.0,0,0.09374,0
0.7472841663885925,0.004565459121532996,0.9661016949152542,0,0.10428,0
0.8186375213896527,0.0009917477113211804,1.0,0,0.08154,0
0.6839172257220044,0.013448251216893284,0.7647058823529411,0,0.10788,0
0.8133996355939995,0.0009075890262267796,1.0,0,0.098126,0
0.9359981563757174,0.000315966717085182,1.0,0,0.2432,0
0.6828374554170296,0.025428427644413398,0.7291666666666666,0,0.2655301498501499,0
0.9204853409901261,0.004026756626999863,1.0,0,0.12336,0
0.8531447247602045,0.0015749058427835187,1.0,0,0.13306,0
0.6662220940474541,0.01727229724540079,0.7096774193548387,0,0.24264,0
0.6278101747686212,0.004355662729062637,0.7954545454545454,0,0.3229301498501499,0
0.8904387360581985,0.00036956150764227947,1.0,0,0.24088,0
0.9317307634422413,0.0008057380435884608,1.0,0,0.25636000000000003,0
0.5692327646048445,0.005114568522754333,0.32894736842105265,0,0.21881014985014985,0
0.5449067522727308,0.05229832677553459,0.39285714285714285,0,0.11066005994005994,0
0.4924872420728207,0.013672544512843937,0.225,0,0.08410000000000001,1
0.7624516566486462,0.009751736844837175,0.9130434782608695,0,0.09818,1
0.8199115893803537,0.00529057845517946,0.9583333333333334,0,0.087796,1
0.8469463635016891,0.003802105825257459,1.0,0,0.08810000000000001,1
0.8596928999308617,0.0014935896935107569,1.0,0,0.08046,1
0.7672569158218675,0.005662248825658466,0.9661016949152542,0,0.10428,1
0.814221290498972,0.0034991684220043924,1.0,0,0.09166,1
0.7944771887903864,0.0019980537609656257,1.0,0,0.09804,1
0.8840681349309228,0.001104665831412681,1.0,0,0.13616,1
0.8956002998046386,0.0017243512548193035,1.0,0,0.09538,1
0.8324144472452727,0.0005703112218437243,1.0,0,0.098126,1
0.6222962086850946,0.0072073916400476595,0.7878787878787878,0,0.10528,1
0.8995998345448503,0.0010408694113204287,1.0,0,0.09038,1
0.652810400532138,0.03401096198378806,0.5483870967741935,0,0.0805,1
0.8585879784077406,0.002101532166329904,1.0,0,0.099992,1
0.7231343342434793,0.0024238001458107153,0.9761904761904762,0,0.084414,1
0.8886549290178752,0.003136486193395364,1.0,0,0.10424,1
0.7691975427062615,0.0012234879771324406,1.0,0,0.086564,1
